year,total,Education,Applied Arts,Humanities & Social Sciences,Mass Communication & Information Science,Business & Administration,Legal Studies,Science & Related Technologies,Health Sciences,Information Technology,Architecture & Building,Engineering Sciences,Services
1993,9340,#VALUE!,92,#VALUE!,82,2052,#VALUE!,563,#VALUE!,605,489,5386,71
1994,10287,#VALUE!,119,#VALUE!,98,2209,#VALUE!,178,#VALUE!,595,469,6480,139
1995,11008,#VALUE!,152,#VALUE!,95,2732,#VALUE!,162,279,568,552,6353,115
1996,12105,#VALUE!,189,#VALUE!,117,2810,68,197,435,788,497,6846,158
1997,12919,#VALUE!,193,#VALUE!,128,2961,45,212,523,869,596,7264,128
1998,13904,#VALUE!,233,#VALUE!,145,3216,73,317,523,1022,585,7659,131
1999,14641,#VALUE!,318,#VALUE!,178,3273,78,365,603,1303,560,7818,145
2000,15073,#VALUE!,402,#VALUE!,237,3306,100,375,571,1480,618,7804,180
2001,15966,#VALUE!,461,#VALUE!,197,3287,85,473,707,1949,554,8011,242
2002,16585,82,487,#VALUE!,195,3342,154,465,700,2365,504,8038,253
2003,16117,104,495,#VALUE!,208,3435,116,463,677,2618,471,7242,288
2004,17837,107,521,#VALUE!,350,3304,127,537,852,3319,470,7965,285
2005,18071,#VALUE!,559,#VALUE!,418,3228,118,777,1172,3683,425,7391,189
2006,18037,131,542,#VALUE!,416,3163,106,761,1397,3582,394,7262,283
2007,18553,159,707,0,536,3353,121,764,1924,3277,450,7004,258
2008,20341,184,964,75,435,3449,121,977,1840,3770,468,7763,295
2009,21159,177,1004,153,435,4043,114,1044,1817,3603,541,7916,312
2010,22214,174,1192,275,481,4696,125,1070,1999,3568,539,7743,352
2011,23769,205,1343,429,511,5444,114,1178,2192,3773,565,7677,338
2012,24830,218,1559,477,653,5560,133,1391,2547,3685,512,7726,369
2013,25402,314,1746,627,638,5608,192,1469,2480,3575,630,7610,513
2014,25956,294,1720,703,555,5904,149,1486,2437,3621,707,7646,734
