year,total,Education,Applied Arts,Humanities & Social Sciences,Mass Communication,Accountancy,Business & Administration,Law,"Natural, Physical & Mathematical Sciences",Medicine,Dentistry,Health Sciences,Information Technology,Architecture & Building,Engineering Sciences,Services
1993,7248,#VALUE!,#VALUE!,1654,#VALUE!,691,990,185,992,156,25,50,479,276,1750,#VALUE!
1994,7514,#VALUE!,#VALUE!,1645,#VALUE!,649,1146,186,940,165,29,53,490,318,1893,#VALUE!
1995,7926,113,#VALUE!,1737,#VALUE!,684,1153,194,1032,141,28,58,499,296,1991,#VALUE!
1996,8218,245,#VALUE!,1861,#VALUE!,695,1206,181,990,150,37,68,556,278,1951,#VALUE!
1997,8679,232,#VALUE!,1921,95,680,1256,187,1037,147,30,69,588,298,2139,#VALUE!
1998,9331,189,#VALUE!,2094,101,751,1330,173,1100,148,36,77,673,294,2365,#VALUE!
1999,9463,202,#VALUE!,2068,112,779,1254,169,1075,145,32,91,573,271,2692,#VALUE!
2000,9406,150,#VALUE!,2026,114,745,1179,153,1033,156,32,41,535,293,2949,#VALUE!
2001,9859,210,#VALUE!,2054,116,741,1210,154,1112,139,35,63,382,323,3320,#VALUE!
2002,10212,226,#VALUE!,2200,121,767,1069,150,975,182,34,69,564,358,3497,#VALUE!
2003,10363,361,21,1608,115,746,977,140,1113,194,32,63,619,410,3964,#VALUE!
2004,10545,412,25,1376,143,621,1067,147,1190,199,32,89,721,322,4201,#VALUE!
2005,10309,364,22,1378,146,706,1121,187,995,209,34,85,562,372,4128,#VALUE!
2006,10710,391,24,1483,141,644,1251,204,1268,229,32,81,449,380,4133,#VALUE!
2007,11493,262,69,1421,169,835,1387,207,1254,227,36,86,493,339,4708,0
2008,11772,225,81,1681,164,831,1465,209,1265,227,35,87,518,391,4536,57
2009,12258,348,135,1970,164,942,1487,210,1520,219,31,129,532,314,4208,49
2010,12796,329,205,2177,177,934,1533,229,1659,228,41,235,573,275,4137,64
2011,13709,406,216,2480,174,839,1577,329,1836,255,42,255,583,368,4275,74
2012,13850,642,241,2231,170,1036,1397,347,1911,252,42,279,764,396,4080,62
2013,15955,589,336,2584,162,1087,1590,368,2127,258,48,391,792,401,4690,532
2014,15376,525,394,2422,158,1122,1477,356,1889,261,45,433,997,404,4539,354
