quarter,total,Goods Producing Industries,Manufacturing,"Food, Beverages & Tobacco",Paper/Rubber/Plastic Products & Printing,"Petroleum, Chemical & Pharmaceutical Products","Fabricated Metal Products, Machinery & Equipment","Electronic, Computer & Optical Products",Transport Equipment,Other Manufacturing Industries,Construction,Services,Wholesale And Retail Trade,Wholesale Trade,Retail Trade,Transportation And Storage,Land Transport & Supporting Services,Water Transport & Supporting Services,Air Transport & Supporting Services,Other Transport & Storage Services,Accommodation And Food Services,Accommodation,Food & Beverage Services,Information And Communications,"Telecommunications, Broadcasting & Publishing",IT & Other Information Services,Financial And Insurance Services,Financial Services,Insurance Services,Real Estate Services,Professional Services,"Legal, Accounting & Management Services",Architectural & Engineering Services,Other Professional Services,Administrative And Support Services,Security & Investigation,Cleaning & Landscaping,Other Adminstrative & Support Services,"Community, Social And Personal Services",Public Administration & Education,Health & Social Services,"Other Community, Social & Personal Services","Arts, Entertainment & Recreation",Others,"Professional, Managers, Executive & Technicians","Clerical, Sales And Services Workers","Production & Transport Operators, Cleaners & Labourers"
2006 1Q,26100,8300,7300,300,400,200,1700,2600,1500,600,700,17700,2600,1400,1200,2200,100,900,800,400,1600,800,800,900,300,600,1500,1300,200,500,1700,900,400,500,1800,1000,600,300,5000,3200,1100,400,300,300,11800,7100,7200
2006 2Q,33000,12000,9300,300,500,400,2300,3000,2000,700,2200,21100,3000,1600,1300,2900,200,1100,1100,500,2200,900,1300,1000,400,500,1700,1300,400,700,2000,1000,600,400,1800,800,400,600,6000,4100,1200,500,300,500,14700,8300,10000
2006 3Q,32200,10300,8600,300,500,300,2100,2800,1900,600,1400,22000,3000,1900,1200,2900,300,1300,900,300,2600,800,1800,1000,600,500,1400,1200,200,700,1600,700,500,300,2200,1100,600,500,6600,4300,1200,600,400,300,13700,8300,10200
2006 4Q,33300,10100,8000,400,500,300,2800,2100,1500,400,1900,23300,3800,2300,1500,2800,100,1400,900,400,2200,800,1400,1000,400,500,2100,1900,200,700,2100,1100,700,400,2100,1100,400,600,6400,3900,1300,600,600,200,15100,8700,9600
2007 1Q,35700,11000,9000,300,600,400,2700,2400,1900,700,1800,24600,3700,2400,1300,3000,100,1300,1100,500,2000,900,1200,1000,500,500,2300,2000,300,1100,2100,900,700,400,2200,1200,500,600,7200,4400,1500,600,600,200,16000,9200,10600
2007 2Q,39200,11400,8400,400,500,500,1900,2100,2300,800,2400,27700,4300,2800,1500,3200,400,1400,800,500,2400,900,1400,1000,700,300,2500,2200,300,900,3000,1300,1000,700,2200,1500,200,400,8400,5500,1600,700,600,600,18500,10200,10500
2007 3Q,38800,11000,7900,400,600,500,2400,1600,1900,600,2600,27700,4100,2600,1500,2700,500,1000,600,600,2500,900,1600,1500,600,900,2800,2500,300,1000,2600,1000,1100,600,3400,2000,400,1000,7100,4500,1400,700,500,500,17600,10200,11000
2007 4Q,40800,12400,8800,300,700,400,2400,2200,2200,700,3000,28400,4300,2800,1500,3400,500,800,1400,600,2600,800,1800,1200,600,600,2800,2400,400,800,3200,1500,1300,400,3200,2100,600,500,6800,4500,1300,500,500,600,17700,10400,12600
2008 1Q,40900,12100,8300,400,700,400,2100,2000,2200,500,3400,28800,4600,3000,1600,2500,600,500,900,500,2500,800,1700,1400,700,700,2700,2200,500,700,3400,1400,1600,500,3000,1900,400,700,7900,5300,1400,500,600,400,18900,10400,11700
2008 2Q,42300,12000,7700,400,700,500,1700,2100,1800,500,3600,30300,4500,3000,1600,3100,700,800,800,700,2800,1000,1800,1700,700,1000,2700,2100,500,800,2800,1100,1300,500,3100,1900,300,800,8800,5800,1700,700,600,700,20200,10900,11200
